date,equity_equal_weight,equity_min_variance,equity_max_sharpe,equity_risk_parity,equity_min_cvar,crypto_equal_weight,crypto_min_variance,crypto_max_sharpe,crypto_risk_parity,crypto_min_cvar,combined_equal_weight,combined_min_variance,combined_max_sharpe,combined_risk_parity,combined_min_cvar,equity_sentiment_tilt,equity_sentiment_momentum
2022-01-03,0.007893532580496583,-0.0005399560144231189,-0.0029108767461690915,0.004667528916201857,-0.0022766644935885935,-0.020728701930202723,-0.020015136625576323,-0.019803923159494734,-0.020611513600887112,-0.01908322728152765,0.003123160162046698,-0.0007410020063946518,-0.007793674612747846,0.002436140073030087,-0.0022766644935885904,-0.003293028762079893,-0.006872213747685695
2022-01-04,0.008287326862424099,0.0013543328653381954,-0.005167341672842755,0.005012913853615709,0.0008705399839905599,-0.011764087452726647,-0.0078032023268655775,-0.01092509141362261,-0.011383324155537618,-0.010789442176082024,0.0049454244765656415,0.0013143306475775385,-0.005707250269950414,0.0036611428627469833,0.0008705399839905568,-0.0023020638753648006,-0.00040506057909854044
2022-01-05,-0.00981102456784561,-0.001346841755270245,-0.011646219309956267,-0.008786352582377269,-0.003613782197055885,-0.06206812715046752,-0.06097843774503514,-0.05678020252083823,-0.061532829043610446,-0.05667731579245424,-0.018520541664949264,-0.0015521709001139888,-0.02663115967296914,-0.013463007471916859,-0.003613782197055873,-0.00755671923710088,0.011127280508972742
2022-01-06,0.0005963769310551341,-0.009510937244851964,-0.0064157237954850736,-0.0020100270993976743,-0.00583349004950099,-0.0008726027668847446,-0.005062074208373245,-0.0039030102705008675,-0.001665383487937011,-0.002475519962275561,0.00035154698139848727,-0.008990777430709874,-0.0032836251849944795,-0.001811896415836432,-0.005833490049500997,-0.007391988077683729,-0.0016719518145246197
2022-01-07,0.0013930725716407813,0.0038255190156335247,-0.014158778094795064,0.0011627008051908673,-0.00013579648814062892,-0.040404478130600344,-0.044552037966314566,-0.04755618029122449,-0.04074668318874149,-0.047496715961351965,-0.005573185878732738,0.003240018069687201,-0.024445502520508536,-0.002417446022062987,-0.00013579648814060442,-0.01367014081693795,0.002014303998832245
2022-01-10,-0.006524926800297903,-0.00705347854024487,-0.004495663226636465,-0.00693469154296989,-0.0066082046485066714,-0.03018341787231781,-0.026430671787356873,-0.028187799638601987,-0.0288348926384755,-0.027287312703601706,-0.010468008645634554,-0.006920476350631373,-0.006948462430949812,-0.008798589567246953,-0.006608204648506665,-0.004252365300367749,0.004636788432897185
2022-01-11,0.010108670902059984,0.005784707949488721,0.009055259888770931,0.008301300956184716,0.004761089156292834,0.03416218451646136,0.036182462036893986,0.03795313073623452,0.03392641368565241,0.03658770690881638,0.014117589837793546,0.005853680173139953,0.018025404848889454,0.01044124896307211,0.0047610891562928324,0.007548353660578177,-0.007078637284138294
2022-01-12,0.002808856818174212,0.006336593612072725,0.006645462999029518,0.0034449089999064614,0.003473081837036367,0.05390506305509349,0.053519179956542456,0.05767244700209408,0.05289536379590913,0.05761121974462996,0.011324891190994089,0.006163430986795417,0.021610111868274016,0.007751867700081812,0.0034730818370363667,0.007541478465097836,-0.0010208138068807046
2022-01-13,-0.005023576980461087,-0.002315000243496959,-0.017292409546335805,-0.004787163424360797,-0.006120706273718858,-0.034351553179315694,-0.03579253703626216,-0.03785659537984302,-0.034333532344970795,-0.03828900976217742,-0.009911573013603521,-0.0023544290604263656,-0.02514984047685427,-0.007339530294729376,-0.006120706273718852,-0.01740229136515661,0.0030379477615574066
2022-01-14,0.0018072024404420664,-0.0019527362511336421,-0.0008996419429364383,8.066051304931986e-05,-0.0049989380832873055,0.025946966258798367,0.027114981199462103,0.0235130967098347,0.025477381469369297,0.018626516041106274,0.005830496410168116,-0.001960002284941153,0.008495346918206522,0.0023624449588726193,-0.004998938083287303,-0.0020521198729297877,-0.004113869524179651
