ticker,-5,-4,-3,-2,-1,0,1,2,3,4,5
ABBV,-0.0073644524112667295,-0.0002543129952296225,0.01809587841901777,0.05671167185496156,-0.045861151236793844,0.15845690445197994,-0.07095724748624811,0.07241166155165063,-0.014439173062936583,0.048592846625601364,0.02612201918807467
ABT,0.015909123207501635,0.013097589594760737,0.036153834399324035,0.04036709701087791,-0.04741558853987601,0.2168437484656184,-0.056111275001479076,0.029358536095067302,-0.011492019056754097,0.0016575096966496262,0.014915526272665881
ADBE,0.005364828802283536,0.02289036462583585,0.0069702514705591405,0.031048017611097246,-0.09358207647752087,0.3506016667534323,-0.14273137616969042,0.10799649706098163,-0.06363652911916656,-0.0028201317988423066,-0.014419416296094759
AEP,0.006044345938247652,0.015438137148378337,-0.021688902787786474,0.09277791105405803,-0.044313153092419566,0.15111849860760124,-0.0703902248719743,0.05825485344951134,-0.015464911079262346,-0.03786229234402107,0.06496397101571433
AMD,0.0316535427421321,0.004533410955909922,0.021681867326813025,0.007427746616485547,-0.04535206223642892,0.3308229558925021,-0.05493076603795564,0.06156976904502033,-0.013765421756872473,0.01062932317011048,0.004710639669051272
AMGN,0.01976018803796571,-0.00793463529982076,0.011394600894747045,0.030431517591196392,-0.06195845089509258,0.15551057720454173,-0.11338468429344956,0.08281126610020788,-0.08058514128995682,-0.0487572285233846,0.011965999497124676
AMT,0.024662366315816312,0.029675240049967716,-0.008016801700372068,0.06321547611503274,-0.05111847928431672,0.2207021145720981,-0.10079671309659162,0.06064210199237695,-0.015363343489707675,0.0011662476905796365,0.03046441548966419
BA,0.01908276399520777,-0.024351611659087783,-0.018655721263499146,0.0001119198636820089,-0.05378306931982817,0.2578476719195461,-0.029759321794414605,0.11518931873531582,0.033662083377659836,0.04257386317163092,0.030075011747826657
CAT,0.03382035079517324,-0.01555688276244777,0.00934579577878617,0.008473786990918638,-0.06561912598476405,0.2564007416621993,-0.006599338074014859,0.0760689285798297,-0.03965934173962385,0.015232603995086491,0.013120852068375313
CCI,0.013159949482431536,0.010592124411758259,0.0024712155543578445,0.04733671160706225,-0.057708245274966624,0.19553271134420824,-0.048762158113885755,0.05747075295328055,0.015251908557914683,0.0007536921613362012,0.05342285370057995
CMCSA,0.008726614315295679,0.044640545766052836,-0.01828665625205524,0.07262150245232722,-0.08487313055786531,0.2864297043102132,-0.11515731821960208,0.13733436178676575,-0.05133478472281466,0.014702790315527172,-0.0015145480252815233
COP,0.0044787893520083465,-0.038070788641282764,0.037636579760977694,0.036648984488491174,-0.06516536938956133,0.21932713111182364,0.0230979928361135,0.06901348284324992,0.022332189796702765,0.06931450026559204,-0.023196231357539964
CVX,-0.007307187896491157,-0.01356737020944789,-0.006601647893192679,0.017194742353580896,-0.10465760649596646,0.21807594793451873,-0.0004814232493199251,0.10814336490270289,0.00836187137279325,0.09275378705808887,0.016968737981981754
D,0.01336695893463822,0.022570962717774447,-0.00173489674828245,0.07112825289924611,-0.02712838033183769,0.13358380100084863,-0.07388659719402184,0.063889844026388,0.0034550755466344583,-0.0328012300861687,0.07380050696437547
DD,-0.0023569092256401592,0.017679766474952757,0.018892065837699593,-0.0018392102161758456,-0.09140323142761991,0.27269648592265017,-0.018020449497385075,0.08065797693681667,0.020525914475720913,0.010482464454961557,-0.00010635779100972996
DIS,0.0373013794746374,0.013439453729564312,0.027207578764692333,0.01995562488552634,-0.11778206755971642,0.35496003851508534,0.015381385630964691,0.07739826292971762,0.014828761795590917,0.02750795760380436,-0.043214323918894224
DOW,0.012092049704085433,0.014217052645247443,0.040356093357957215,0.040027633123213946,-0.004737610462130599,0.27672895465069225,-0.004026802921939578,0.09858021166052494,-0.05040768056378743,0.012651324845880182,-0.05867338203820847
DUK,0.014860178417208837,0.0027848526951090333,-0.031884147308504196,0.09519758805930499,-0.07556852669090068,0.17998815098719442,-0.07665593910675346,0.10385638376277874,-0.024209123622392848,0.02458678254300303,0.05860141860416699
EA,-0.0003600386875871823,-0.010343234122085345,-0.009233125604288463,0.06763196925591758,-0.052225495675433914,0.23208684293652376,-0.05128990598576091,0.1031605968460644,-0.04198492847363552,-0.001902979815898033,-0.04080070133267925
GE,0.031172765531586006,0.026194131311483276,0.013306455021437322,0.01112196027023116,-0.04266599061661652,0.23376394588362154,-0.0019969559855038898,0.07533638376016401,0.011443567663380026,-0.016870859901742186,0.05940552121714642
GILD,0.052577697160187446,-0.07854102146863233,0.04237995953793002,0.048986232269813426,-0.07266134313223774,0.12274799714898463,-0.04384770970864381,0.014131321707678123,-0.015951747861064684,-0.07340915533426724,-0.025887678310864255
GS,0.005174040548019292,0.02723376021998538,-0.009217344601571401,0.025079975110959194,-0.04847817145287344,0.2985704682246408,-0.06632674580675124,0.1040206945420246,-0.014532417978677232,0.05601812839882583,0.013322274145558678
INTC,-0.017264154858377838,-0.00019180064790701114,0.012189443281098776,0.05076268094063001,-0.05054603627933416,0.28861560784062884,-0.12010404783099178,0.03938498629444478,-0.05823658669726734,0.04120544203211552,0.03079775943690094
KO,0.026529189622862565,0.01893493408151054,-0.01033345575011844,0.08117303691905599,-0.1153271478243774,0.196312691083223,-0.07655887429528173,0.09201151020358578,0.0046804429085607014,0.01185619498060104,0.03155449048611555
MMM,0.02726196240551253,0.005984061301287945,2.7078256492808417e-06,0.007186458601271211,-0.01155668055381108,0.224096385233243,-0.07134042720414963,0.042982686871846025,0.010693741265348744,-0.029153305870872344,0.001992533391088048
MRK,0.0006386611203654434,-0.027792781436742423,-0.009125283886916823,0.03707608909604819,-0.06792106047085125,0.16420209889746598,-0.015869208569684316,0.06682521198265598,-0.10172370663131157,-0.004303701623006746,0.02619956808071105
MS,0.007346192834761693,0.03680539384400202,0.0064814425816209775,0.01304040845800065,-0.06155185850294382,0.2989776689753242,-0.04838360324495591,0.10088399772337378,-0.01174637238681821,0.028677170631409198,0.026738300779211847
NEE,0.015910060819121708,0.007493859282629937,-0.011279791468530302,0.09329306328316382,-0.05563771244157626,0.2399686610853615,-0.048186152095365156,0.04143353608698283,0.00858272978640111,0.022235315772390723,0.02385692957385904
NEM,0.02170529667450299,-0.035742838086414486,0.013730710524947709,0.005229243995079494,-0.03835878350818468,0.16391754521612675,0.04453059524925693,0.012559589332079069,-0.04296823563297086,0.09264035207274796,-0.02502259074609149
NKE,0.006626372887570424,0.007162484940182533,-0.013077193604271236,0.04625945923058142,-0.03865522785407983,0.279173211723726,0.026661914878833903,0.039055742680598235,0.0006760878371102787,-0.004178151764057552,0.002907628770193074
NUE,0.06292459251866617,0.021199893673448624,0.04106841532932009,-0.00016870223083374642,-0.0168695822509133,0.2724314690344349,-0.02166569800635439,0.1204520065481973,0.013581404438808908,0.03009313263538485,0.0161531072089658
NVDA,-0.010043854731122421,0.0008587535332537647,-0.010631229227685028,0.012391079301323256,-0.04808286758830024,0.3646636291675929,-0.04973334361275756,0.06722792787891659,-0.032126954421916855,0.021325148395229157,-0.009103519604831075
O,0.005880842459649041,0.015968558560463624,-0.05780193350737247,0.0319176652979293,-0.10497384589381822,0.19136968467213722,-0.03885694920339642,0.14841905177110765,0.011660403273597455,0.10052401988940753,-0.028739596596310008
OXY,0.024194540228557188,-0.0447854604799687,0.11465702641665484,-0.03376276789470587,-0.0053449745185180225,0.1509640449004263,-0.01897380834681208,0.0447560962299643,0.022972065053668615,0.04341361032260623,-0.011422853374025025
PLD,0.04127717197731869,0.04211235536282372,0.008851576998541286,0.046074756425764536,-0.017419448484091094,0.24911841393447312,-0.061266371652038236,0.07662812975205814,0.01341443550592613,-0.004021960061014355,0.05611302790685139
PSA,0.019289567001891435,0.04591194202362429,0.03548713207165732,0.03694645987306043,-0.07209912211043433,0.18409986060287564,-0.062144494924712544,0.06545082109408343,0.011087293023419246,0.03368353652235594,-0.001026496505723547
QCOM,0.02703585280664147,0.005822269499135355,0.0174291023542416,-0.007826928181541837,-0.07789637784491844,0.3303143935357659,-0.1062590806336802,0.06382527238332478,-0.0023982662030620837,0.03797171556898492,-0.02333046606072258
SBUX,0.022380491352667654,0.040150501229818794,-0.026428035703374167,0.01195569680439093,-0.06135627740303806,0.2977460825500277,-0.08084747637416728,0.09695936487095191,0.006217889249244555,0.014950548576686196,-0.01930422134458099
SHW,0.02281378693805055,0.00027078036692311074,-0.009947633873701808,0.04968282963336043,-0.03991556670726297,0.23274995646498137,-0.018822980803153415,0.12212276492611322,0.016949012863566648,0.02508843120890598,-0.02981887541198425
SLB,0.009158684458470238,-0.020357689095182596,0.029578593896086424,0.03832695804639163,-0.06689078233466342,0.21362135128260332,-0.0016058572460400412,0.04517131276030544,0.016008229210171518,0.080710475045437,-0.03591509650553401
SO,0.013118036483662963,0.0026862278928219832,-0.012715747354313823,0.10308224730196508,-0.043346995336997006,0.17211900123721807,-0.056130101182533865,0.095941007542425,-0.0014372738566116499,-0.04484218482090539,0.0615309515621937
T,-0.024478655552894225,-0.012895059649038892,-0.01307208373807142,0.061205646114609935,-0.06298641676677373,0.16795560698340598,-0.04217082439982401,0.04854683940960989,-0.02480181471843745,-0.019776020194152966,0.00892292501610998
TMUS,-0.03530637570856155,0.02377407942163435,0.03459237488026345,0.030436388388776298,-0.08256133704146537,0.318275314437649,-0.1167176369816469,0.12466723437894059,-0.027338999764658305,0.04760013931141056,-0.07117138326363286
TTWO,0.011152128479658227,-0.04039036811340985,0.014672933064056091,-0.011681506564849174,-0.05111570124313195,0.26213133772648695,-0.03294945288479252,0.07335197984958196,-0.033574677910802014,0.0034467044757045973,-0.046572770249598744
UPS,0.05517343976768332,0.005356747052494324,0.0686226478878713,0.026045856806511045,-0.048709049620610186,0.18090818997044122,-0.03551440122866233,0.07812938850372009,-0.06307179278773273,-0.039546196421083805,0.02355648075611736
USB,0.03241643410151852,0.006190048809291664,0.029586337051260285,0.012968813519792071,-0.05729540672049264,0.21366922639207103,-0.05930318395807336,0.07641459428084306,0.019842196915283057,-0.013093216183962869,0.04874593478599723
V,0.05340516163566696,0.0033870169601361846,-0.0021451291074486693,0.03963996305473881,-0.1052620112566494,0.3093235153001586,-0.04919537095405505,0.10935618500703108,-0.022611002775840897,0.01220918357164022,-0.031667370049510604
WFC,-0.006762474505837083,-0.0007500553684914995,0.0007119171252011079,0.03166564997515318,-0.04011380762776266,0.23924398122354198,-0.028311355823434834,0.09504879240323025,-0.015613884104152083,0.0023718665131072644,0.005343991344449128
WMT,-0.018543823727514012,0.00444903861679716,0.01985391644600871,0.040664242466893166,-0.06267408778610187,0.22681255662836156,-0.07491779293413765,0.1014749443289455,-0.03663369163609018,-0.01818295019997723,-0.023860664927023816
XOM,0.001966917716447175,-0.03037074996219805,0.011218362885800304,0.020908561898789483,-0.07885640962017267,0.21233094653807982,0.0247327908309253,0.07403355880068731,-0.01960791588434398,0.06703785009754827,-0.022044275061454795
